id,v_kv,name,x_coord,y_coord
13,132,Dragonera,4.23666700,39.89111100
12,132,Es Mercadal,4.09555600,39.97694400
11,132,Cuitadella,3.85527800,40.00333300
8,220,Es Bessons,3.15805600,39.58194400
6,220,Llubi,3.03944400,39.67333300
3,220,Son Reus,2.67888900,39.65083300
2,220,Valldurgent,2.54916700,39.58416700
5,220,Son Orlandis,2.74444400,39.60027800
7,220,Murterar,3.09250000,39.80944400
0,132,Ibiza,1.43083300,38.91916700
1,132,Santa Ponca,2.50793735,39.53661682
4,220,Portol,2.72461705,39.56685845
9,132,Cala Mesquida,3.42702424,39.73827056
10,132,Cala en Bosch,3.83422653,39.93174737
14,132,Mao,4.25815473,39.89706260
